ID,Age,Income,Score,Gender,Department,JoinDate,Satisfaction
1916,37,38053,80,NA,*,4/2/2024,1
1917,58,29385,72,Female,*,9/9/2022,4
1918,42,48051,21,NA,Operations,25/1/2022,5
1919,37,NA,-,NA,IT,3/5/2022,2
1920,34,27480,-,Female,Marketing,28/1/2021,1
1921,44,29208,30,Male,HR,7/1/2022,3
1922,53,4559,0,Male,HR,21/1/2023,3
1923,52,20098,63,Female,HR,25/6/2021,NA
1924,26,36744,0,Female,Finance,26/5/2024,2
1925,46,47341,28,Female,Marketing,10/8/2021,5
1926,NA,65457,15,Female,HR,15/11/2022,3
1927,24,15009,4,Male,Sales,31/12/2021,-
1928,30,23517,79,Male,Marketing,21/12/2022,1
1929,35,24593,61,Female,Finance,7/5/2022,5
1930,57,,52,Female,IT,31/12/2021,1
1931,51,39156,22,Male,-,24/8/2021,2
1932,-,29900,16,Male,IT,21/3/2020,1
1933,31,,65,Male,Operations,6/12/2022,4
1934,33, ,21,Male,IT,30/11/2023,
1935,60,25348,86,Female,Finance,26/7/2024,3
1936,36,32640,0,Female,Marketing,4/2/2023,2
1937,26,27515,44,-,Marketing,8/9/2022,2
1938,46,30646,85,Female,IT,13/5/2020,4
1939,26,34602,93,Male,Operations,6/5/2022,1
1940,19,50712,65,Male,HR,3/6/2024,4
1941,NA,0,75,-,Sales,8/9/2020,5
1942,24,35378,77,Female,IT,19/12/2021,3
1943,53,36199,8,Male,Marketing,31/10/2022,-
1944,38,21556,57,Female,Marketing,23/2/2020,4
1945,40,163011,78,Male,Operations,3/11/2024,3
1946,53,35209,2,Female,HR,29/10/2021,5
1947,48,0,40,Male,Sales,9/1/2022,5
1948,45,42557,60,Male,Finance,2/2/2020,4
1949,33,237163,23,Male,IT,22/9/2022,1
1950,42,17735,57,Female,IT,18/12/2022,3
1951,53,26018,90,Female,Sales,7/6/2023,3
1952,26,21307,46,Female,Operations,28/2/2021,1
1953,20,49693,51,Male,Sales,29/7/2023,5
1954,27,28380,28,Female,Operations,23/8/2022,2
1955,53,52188,-,Female,Operations,10/5/2021,3
1956,26,60236,81,Female,IT,24/2/2023,1
1957,18,57689,94,Female,NA,3/4/2020,3
1958,18,20397,0,Male,IT,2/1/2022,4
1959,26,28873,87,Male,Sales,24/9/2024,2
1960,44,*,4,Female,Operations,19/8/2021,2
1961,48,NA,20,Female,Marketing,15/2/2021,4
1962,20,22509,94,Female,Marketing,11/8/2020,4
1963,60, ,79,Female,Sales,6/11/2024,4
1964,36, ,59,Male,Marketing,26/7/2023,5
1965,50,31118,23,Male,Marketing,21/11/2021,5
1966,23,42338,49,Female,Finance,31/7/2020,4
1967,43,0,57,Male,IT,13/1/2021,3
1968,*,26458,,Male,HR,7/10/2022,5
1969,NA,0,NA,Female,Finance,31/12/2020,3
1970,41,40354,77,Female,Finance,12/7/2023,5
1971,37,44567,28,Male,Operations,6/11/2022,5
1972,59,NA,74,Female,Marketing,6/4/2024, 
1973,30,38109,16,Male,,10/6/2024,NA
1974,-,31579,31,Male,HR,19/12/2021,1
1975,46,32099,9,Female,Sales,12/5/2023,4
1976,,38255,47,Male,Marketing,21/11/2024,5
1977,NA,45384,16,Male,Operations,5/12/2020,4
1978,64,20587,43,Female,HR,19/9/2020,2
1979,33,38593,0,Female,HR,17/7/2024,4
1980,21,26793,87,Female,IT,23/11/2020,1
1981,61,37789,36,Female,Marketing,2/5/2022,2
1982,64,29639,0,*,Marketing,4/1/2022, 
1983,47,51232,81,NA,IT,24/12/2023,3
1984,28,32754,91,Female,IT,2/2/2021,*
1985,18,-,97,Female,Finance,14/5/2024,3
1986,64,47158,23,Male,Finance,29/6/2023,4
1987,45,31433,13,Female,Sales,24/11/2021,2
1988,*,41301,98,*,Marketing,6/11/2024,3
1989,27,36751,17,Male,Marketing,24/2/2021,3
1990,23,41718,8,Female,Sales,1/2/2024,2
1991,56,22384,81,Male,Marketing,18/7/2020, 
1992,45,33614,19,Male,Finance,30/7/2024,3
1993,55,37364,78,Female,Marketing,18/3/2024,2
1994,-,37447,30,*,IT,28/8/2021, 
1995,61,37172,6,Male,NA,27/8/2020,4
1996,43,40176,22,Female,IT,13/9/2023,1
1997,56,49487,27,Female,Marketing,16/2/2023,5
1998,64,40664,40,Female,Marketing,21/7/2023,3
1999,22,42802,98,Male,IT,15/3/2020,1
2000,20,34894,74,Female,Operations,15/3/2023,4
2001,57,27146,47,Female,HR,8/2/2022,2
2002,30,,71,,HR,14/5/2023,2
2003,35,27065,14,Female,HR,22/6/2023,3
2004,46,25138,100,Male,Sales,2/10/2022,4
2005,41,43383,20,Male,-,13/3/2021,4
2006,35,35734,19,Female,Marketing,31/8/2023,2
2007,34,35530,52,Male,Marketing,13/1/2023,3
2008,57,53461,30,Female,Sales,1/3/2021,1
2009,49,20442,69,Female,Operations,15/1/2020,5
2010,53,37562,71,Male,NA,8/9/2023,5
2011,23,28452,50,Male,HR,12/8/2020,NA
2012,39,39327,44,Female,Marketing,16/11/2024,5
2013,33, ,0,Male,HR,21/1/2022,1
2014,,32541,57,Female,Marketing,6/12/2023,1
2015,-,44549,11,Female,HR,30/10/2024,2
2016,59,49237,78,Male,Sales,7/12/2020,5
2017,45,50818,10,Female,HR,10/1/2024,2
2018,60,36851,*,Female,HR,2/12/2020,-
2019,25,43461,44,Male,Finance,9/8/2020,3
2020,44,36899,0,-,Finance,28/2/2020,1
2021,54,45556,41,Female,Marketing,26/11/2023,5
2022,59,51362,76,Female,-,11/9/2024,1
2023,60,74163,16,Female,Marketing,4/6/2020,2
2024,42,30630,36,Female,IT,25/6/2021,5
2025,59,25166,NA,Female,Sales,26/2/2020,5
2026,44,34656, ,Female,Operations,1/9/2020,3
2027,*,0,4,Female,Operations,24/12/2021,3
2028,20,38555,27,Female,HR,28/12/2021,5
2029,51,33109,13,Female,Finance,25/7/2020,3
2030,30,14657,90,Female,Operations,8/1/2020,NA
2031,48,55606,69,Female,IT,18/12/2023,3
2032,31,33720,70,Male,IT,23/3/2024,4
2033,52,51894,78,Male,Operations,19/1/2024,2
2034,46,33167,63,Male,Finance,2/12/2023,4
2035,-,44926,8,Male,Finance,13/11/2021,2
2036,*,30794,41,Male,HR,25/10/2024,1
2037,30,32946,38,Male,HR,15/1/2020,3
2038, ,58126,1,Male,IT,2/3/2024,2
2039,29,51764,31,Female,NA,17/12/2022,3
2040,39,37425,97,Female,IT,3/5/2022,
2041,23,55504,61,Female,HR,21/7/2022,3
2042,24,29105,1,Female,Finance,16/12/2023,3
2043,47,*,16,Male,HR,26/2/2022,2
2044,49,43769,49,Female,Marketing,11/8/2022,5
2045,55, ,-,Male,Finance,17/1/2022,1
2046,18, ,52,Female,Operations,5/2/2024,5
2047,53,38613,22,Female,Finance,11/5/2022,3
2048,44, ,52,Male,IT,27/10/2023,5
2049,56,47854,,Female,Sales,3/2/2021,5
2050,61,,22,Male,Sales,9/2/2020,4
2051,29,38110,4,Male,,10/6/2024,1
2052,56,27863,36,Female,IT,19/12/2022,5
2053,23,55047,-,Female,IT,17/10/2024,4
2054,56,19166,84,Male,Marketing,2/12/2020,5
2055,41,32399,-,Female,Finance,27/8/2024,5
2056,21,23866,47,Female,Operations,20/1/2022,5
2057,21,53432,90,Male,Marketing,14/1/2022,1
2058,57,36276,56,Male,Operations,7/12/2021,5
2059,21,23869,96,Female,IT,13/10/2022,3
2060,34,23923,44,Female,HR,14/12/2022,1
2061,39,25603,67,Male,HR,26/1/2022,1
2062,44,43830,22,Female,*,17/8/2022,2
2063,26,29770,28,Female,Finance,29/8/2021,1
2064,42,*,94,Female,Marketing,2/10/2020,2
2065,53,42777,13,Female,IT,31/8/2021,1
2066,59,42045,39,Male,,29/6/2020,3
2067,55,22124,42,Female,IT,18/7/2021,5
2068,55,31111,34, ,IT,29/7/2023,1
2069,46,0,-,Male,IT,7/9/2024,2
2070,*,28467,68,-,Finance,28/3/2024,5
2071,35,15354,26,Female,Sales,25/3/2022,3
2072,32,NA,54,Female,Sales,22/5/2020,5
2073,44,31484,0,Female,Marketing,21/8/2023,5
2074,52,26948,58,Male,Marketing,29/4/2024,1
2075,28,-,62,NA,Sales,25/4/2023,3
2076,53,40392,29,Male,NA,30/6/2020,1
2077,25,28896,13,Female,Finance,10/9/2023,5
2078,45,41776,60,Male,Marketing,4/7/2022,2
2079,55,44795,39,Male,IT,2/4/2020,4
2080,18,12667,23,Female,Operations,19/2/2021,1
2081,45,30929,71,Male,Marketing,28/11/2023,3
2082,22,17254,0,Male,Sales,21/8/2023,2
2083,30,17745,,Male,HR,25/2/2022,2
2084,61,36184,84,Female,Sales,7/7/2024,1
2085,22,34732,90,Male,HR,6/9/2024,1
2086,35,29090,4,Male,Finance,16/1/2020,5
2087,50,NA,63,Male,Operations,22/3/2021,1
2088,19,54606,94,Female,Operations,16/6/2024,1
2089,40,21072,54,Female,Marketing,23/11/2023,4
2090,20,40388,22,Male,Finance,28/6/2022,2
2091,34,31925,68,Female,Operations,16/5/2021,4
2092,47,15375,21,Female,,16/4/2020,1
2093,48,37798,81,Female,HR,21/1/2024,5
2094,26,27708,70,-,HR,12/2/2020,4
2095,27,-,40,Female,IT,22/1/2020,2
2096,*,37459,51,Female,HR,20/4/2024,3
2097, ,64564,*,Female,Operations,27/6/2024,1
2098,37,45279,65,Male,Sales,18/5/2022,5
2099,63,14477,27,Female,IT,20/3/2024,4
2100,23,54098,100,Female,-,12/11/2024,3
2101,55,34590,0,,Operations,19/4/2020,3
2102,49,15598,85,Male,Sales,4/1/2021,4
2103,38,23457,32,Male,Finance,9/1/2020,1
2104,43,37076,57,Female,IT,27/7/2023,*
2105,37,43828,34,Male,Marketing,3/10/2020,NA
2106,52,49845,60,Male,HR,24/7/2023,-
2107,29,24884,-,Female,Sales,2/1/2020,5
2108,53,36210,23,Female,Finance,6/5/2022,1
2109,63,41827,34,Male,Operations,20/7/2024,2
2110,48,44357,65,Male,Finance,11/4/2024,1
2111,20,52022,72,Female,NA,25/10/2022,5
2112,25,24044,64,Female,Sales,7/7/2020,1
2113,62,37693,,Female,IT,3/8/2022,5
2114,37,44564,80,Male,IT,28/2/2020,1
2115,36,13282,51,*,Marketing,28/8/2022,1
2116,23,59657,18,Female,IT,10/4/2024,1
2117,20, ,89,Male,NA,19/1/2021,4
2118,48,37426,67,Female,HR,5/6/2022,2
2119,47,24684,94,Male,Finance,12/1/2021,2
2120,58,50666,0,-,Sales,20/12/2022,2
2121,26,38917,38,Female,Sales,1/2/2023,5
2122,47,38065,3,Male,Operations,7/12/2022,3
2123,21,26888,32,Male,Sales,27/1/2021,2
2124,35,39047,8,Male,Sales,16/6/2020,-
2125,36,64315,34,Male,HR,4/6/2022,3
2126,31,22372,30,Male,IT,21/7/2020,4
2127,55,-3041,44,Female,IT,7/9/2022,3
2128,19,27009,12,Male,Operations,4/10/2022,3
2129,62,25516,93,Male,IT,6/9/2023,1
2130,28,,NA,Male,Sales,21/3/2024,4
2131,46,32671,85,Female,Sales,10/5/2021,2
2132,54,53589,23,Male,Marketing,9/9/2021,3
2133,63,0,44,NA,Marketing,25/2/2022,2
2134,59,39806,16,Female,Marketing,28/11/2022,5
2135,45,44513,47,Male,Sales,4/2/2021,NA
2136,38,55468,*,Female,Marketing,5/3/2020,2
2137,42,34218,53,Male,HR,6/11/2024,2
2138,30,39153,19,Male,Operations,2/5/2022,1
2139,37,27577,23,Male,Marketing,15/6/2020,5
2140,NA,44772,14,Male,IT,19/3/2023,4
2141,51,48314,93,Male,Marketing,6/3/2024,3
2142,56,43397,48,Male,HR,31/12/2021,3
2143,62,42296,47,Male,Marketing,26/3/2020,4
2144,25,20367,62,Female,-,14/3/2020,1
2145,36,47351,0,Female,Marketing,5/1/2020,4
2146,22,42525,0,Male,Sales,27/12/2021,5
2147,56,59468,100,Female,,5/7/2022,4
2148,41,21782,8,Female,Marketing,9/4/2021,3
2149,48,34441,0,Female,HR,12/2/2023,2
2150,39,46350,82,Male,Sales,10/11/2023,1
2151,56,12379,40,-,Sales,16/11/2023,5
2152,53,49213,61,Male,Operations,16/2/2020,NA
2153,37,,15,Male,,3/8/2020,4
2154,61,37324,19,Female,Marketing,9/6/2021,2
2155,55,35632,92,Male,Operations,25/9/2020,3
2156,32,19733,29,Female,Finance,4/12/2021,3
2157,18,47500,,Female,Finance,18/10/2024,4
2158,18,18726,82,Female,Marketing,25/11/2020,5
2159,21,22739,86,Male,HR,13/3/2020, 
2160,47,33881,52,Female,HR,25/10/2021,5
2161,34,,0,Female,Finance,20/4/2020,5
2162,24,37904,40,Male,Operations,23/9/2022,4
2163,61,43115,93,Male,HR,5/3/2024,3
2164,44,10452,100,Female,Operations,6/5/2023,2
2165,58,50744,23,Male,Sales,7/2/2021,5
2166,40,42154,NA,Female,Finance,24/12/2021,4
2167,47,NA,70,Male,HR,24/8/2024,*
2168,18,22080,92,Male,IT,19/8/2020,2
2169,43,29839,22,Male,*,2/8/2020,3
2170,61,33746,84,,Sales,8/11/2020,1
2171,64,NA,70,Female,Marketing,18/5/2021,1
2172,35,35106,-,Female,Operations,20/2/2024,4
2173,46,57591,60,Male,Marketing,8/10/2024,5
2174,36,41755,4,Male,Marketing,28/5/2024,2
2175,-,30024,69,Female,HR,2/11/2023,5
2176,26,27038,83,Male,Sales,26/8/2021,3
2177,37,53852,35,Female,IT,1/3/2022,5
2178,NA,33914, ,Female,Operations,21/12/2022,3
2179,59,47886,93,Male,Operations,8/12/2021,3
2180,45,53470,43,Female,Finance,6/11/2022,4
2181,40,NA,90,,IT,4/10/2021,4
2182,35,66586,49,Female,Marketing,21/10/2021,2
2183,26,21122,14,Female,Marketing,13/8/2022,1
2184,*,39043,24,Male,Marketing,29/12/2023,3
2185,43,29737,74,Male,HR,25/3/2020,4
2186,50,58198,56,Female,Operations,19/3/2022,3
2187,60,32494,48,Male,Sales,31/5/2020,3
2188,58,26991,69,Female,Finance,28/11/2023,5
2189,22,24438,*,Female,Operations,23/2/2020,1
2190,23,32013,63,Male,IT,18/3/2023,2
2191,21,22228,60,Female,Marketing,21/9/2021,1
2192,42,51952,0,Male,Operations,17/3/2023,5
2193,30,54483,26,Male,Finance,28/5/2022,2
2194,45,32652,46,Female,Finance,19/3/2023,4
2195,24,-,28,Male,Finance,8/4/2022,1
2196,21,28745,84,Female,IT,13/9/2024,1
2197, ,21485,49,Male,Finance,18/6/2024,4
2198,62,22588,52,Male,Marketing,23/8/2022,5
2199,29,52495,97,Female,IT,2/6/2024,
2200,34,33372,5,Female,IT,5/11/2023,1
2201,*,30603,77,Female,Operations,1/6/2022,4
2202,55,-,85,Male,Marketing,28/2/2023,4
2203,44,46442,NA,,Finance,13/8/2023,5
2204,41,47104,28,Male,Operations,22/6/2021,5
2205,54,22077,93,Female,Sales,10/2/2024,5
2206,*,51844,21,Female,Operations,3/9/2024,1
2207,36,43245,50,Female,HR,8/7/2024,5
2208,-,34580,32,,Sales,29/9/2023,2
2209,NA,24166,0,Male,Marketing,6/4/2021,3
2210,40,21779,77,Female,Sales,28/6/2020,3
2211,51,27456,16,Male,IT,11/1/2024,2
2212,51,36445,0,Female,Sales,25/8/2024,3
2213,28,29549,74,NA,HR,10/3/2021,2
2214,31,43663,69,Male,Sales,24/2/2020,5
2215,42,41224,42,Female,Operations,24/9/2020,5
2216,NA,26766,63,Male,NA,5/8/2024,2
2217,54,14219,4,Male,Operations,24/5/2022,2
2218,59,,51,Male,IT,25/5/2024,5
2219,35,18776,16,Female,IT,25/11/2020,NA
2220,28,52802,49,Male,IT,29/5/2024,1
2221,49,45640,65,Female,IT,22/4/2020,3
2222,27,37634,37,Female,HR,14/11/2020,1
2223,*,32395,87,Female,HR,17/7/2020,5
2224,31,47500,85,Male,Finance,31/1/2020,2
2225,34,41822,38,Female,Finance,16/9/2022,4
2226,23,44167,50,Female,Operations,15/7/2021,1
2227,21,48274,30,Female,Sales,4/6/2020,3
2228,18,47216,,Female,Operations,3/2/2020,4
2229,60,41709,76,Male,HR,3/11/2020,2
2230,,47856,60,Male,HR,14/2/2024,2
2231,53,39716,92,Female,Marketing,10/5/2021,2
2232, ,50125,90,Male,*,6/5/2023,4
2233,46,44586,*,Female,Sales,24/2/2021,5
2234,54,9371,12,Male,HR,8/5/2023,5
2235,*,49047,35,Male,Operations,17/1/2020,3
2236, ,24137,28,Male,Marketing,28/2/2021,5
2237,26,25424,70,Female,Marketing,10/9/2024,1
2238,59,28424,85,Male,Finance,16/1/2024,2
2239,63,0,81,Male,IT,21/9/2022,4
2240,43,44350,11,Female,Marketing,8/9/2022,3
2241,33,30818,78,Female, ,18/3/2020,4
2242,57,57776,92,Female,Finance,9/1/2020,5
2243,48,41782,48,Male,Operations,20/7/2022,3
2244,NA,22980,2,Male,IT,21/5/2023,2
2245,58, ,13,-,Sales,2/9/2024,3
2246,39,45772,59,Female,Sales,20/11/2022,1
2247,27,38187,0,Male,Sales,16/12/2023,1
2248,-,41125,64,Female,-,27/3/2023,5
2249,22,,42,Female,,14/4/2022,1
2250,54,37210,93,Male,IT,24/9/2022,-
2251,27,32353,96,Female,HR,15/9/2024,4
2252,30,34346,-,Male,Sales,9/3/2023,2
2253, ,47049,32,Female,Finance,29/4/2022,5
2254,54,37168,-, ,Operations,14/1/2020,3
2255,-,-,,Male,Finance,19/1/2023,3
2256,61,19540,,Male,-,30/5/2021,3
2257,52,26741,*,Female,NA,6/7/2024,4
2258,51,38498,37,*,Sales,11/3/2023,2
2259,37,15106,22,Male,Sales,17/8/2022,3
2260,19,41537,94,Female,Marketing,10/11/2024,5
2261,41,35719,100,Female,HR,27/5/2021,4
2262,35,40715,,Female,HR,13/4/2022,3
2263,27,30648,46,Female,Finance,22/3/2021,1
2264,49,33508,NA,Male,IT,4/9/2024,2
2265,*,27245,60, ,NA,12/10/2024, 
2266,19,0,75,Male,Sales,20/10/2023,3
2267,22,40305,18,Male,Operations,1/2/2023,NA
2268,49,30321,89,Male,Marketing,31/5/2021,5
2269,44,50411,48,Male,Sales,15/9/2021,5
2270,31, ,65,Female,Sales,27/3/2021,4
2271,28,36210,63,Female,Operations,29/8/2022,1
2272,45,12930,6,Female,Marketing,12/4/2022,5
2273,49,55995,92,Female,Operations,29/7/2023,4
2274,36,32728,58,Male,IT,23/2/2022,4
2275,30,31736,10,Male,Operations,28/6/2021,4
2276,34,31011,28,Male,Finance,19/6/2020,1
2277,46,*,58,Female,Finance,7/12/2022,2
2278,63,37738,99,Male,Sales,12/11/2023,1
2279,36,49203,52,Male,Sales,27/12/2022,4
2280,42, ,5,Male,-,23/1/2022,5
2281,34,36079,88,Male,Marketing,13/6/2020,5
2282,63,,98,Female,Marketing,4/2/2020,3
2283,31,22606,69,Female,HR,5/9/2020,3
2284,-,36248,68,Male,Finance,18/3/2024,4
2285,54,56083,83,Female, ,2/6/2023,5
2286,48,-,41,Male,Operations,3/12/2022,NA
2287,23,19295,39,Male,Operations,7/3/2022,NA
2288,29,NA,2,Male,Operations,2/4/2024,2
2289,43,40487,86,Male,Operations,24/3/2023,5
2290,44,31342,*,Male,IT,20/2/2022,3
2291,32,34725,72,Female,HR,27/6/2023,4
2292,28,51917,57,Male,Marketing,27/9/2023, 
2293,43,40295,55,*,Finance,22/9/2021,5
2294,24,21438,14,Female,Marketing,18/2/2020,2
2295,55,56297,19,Female,IT,1/3/2023,NA
2296,41,29084,54,Male,Finance,21/5/2023,-
2297,44,32485,36,Male,Marketing,5/2/2021,3
2298,40,38036,83,Female,Operations,6/10/2020,4
2299,*,17992,100,Female,HR,11/3/2021,1
2300,64,28991,31,Female,IT,16/11/2020,1
2301, ,36816,69,Female,HR,10/9/2022,1
2302,29,0,-,Male,*,1/10/2023,4
2303,21,31309,39,Male,Sales,21/3/2021,*
2304,35,28944,,Female,Sales,1/8/2022,-
2305,38,48850,21,Male,Marketing,22/6/2020,3
2306,40,52960,16,NA,HR,29/8/2022,2
2307,32,29618,,Female,Sales,9/9/2022,1
2308,40, ,*,Male,Sales,14/1/2024,1
2309, ,26870,86,Male,Marketing,20/8/2024,5
2310,31,47347,79,Female,*,20/1/2024,3
2311,20,40016,85,Male,Marketing,24/8/2022,5
2312,40,26376,41,Female,Marketing,1/11/2021,3
2313,32,43374,57,Female,HR,27/9/2020,4
2314,54,38970,47,Female,HR,2/2/2023,3
2315,23,34770,16,Male,Finance,14/3/2023,5
2316,56,32348,19,Female,*,1/1/2024,4
2317,25,-,89,Male,Sales,2/3/2021,4
2318,28,27980,*,Male,IT,24/1/2022,5
2319,,47694,0,Male,Finance,28/12/2021,5
2320,34,57021,28,Male,IT,7/8/2023,1
2321,45,27112,51,Male,HR,29/10/2022,3
2322,60,40212,3,Male,Sales,20/4/2021,2
2323,40,42007,59,Female,HR,10/5/2022,4
2324,34,-1172,12,Male,Marketing,6/6/2021,-
2325,22,57874,51,Female,Marketing,4/4/2024,3
2326,27,40498,49,Male,IT,22/3/2022,
2327,35,29126,97,Male,Operations,1/12/2020,1
2328,40,36598,,Male,Marketing,22/8/2021,3
2329,45,*,46,Male,-,29/7/2023,3
2330,59,-9416,76,Male, ,11/3/2020,3
2331,,34417,-,Male,Marketing,29/5/2022,4
2332,61,22346,43,Female,Sales,26/3/2020,4
2333,29,46863,19,Male,Sales,5/10/2023,3
2334,19,45332,19,Male,Operations,17/2/2023,1
2335,56,41302,88,Female,Operations,26/3/2024,1
2336,41,20267,41,,IT,17/11/2024,2
2337,26,24737,26,Male,Operations,18/1/2024,4
2338,42,48683,74,-,IT,13/10/2023,3
2339,,38800,44,Male,Finance,25/2/2020,2
2340,41,34343,44,Female,Operations,9/9/2020,4
2341,32,49800,77,Male,Marketing,24/11/2024,4
2342,NA,19647,74,Female,Marketing,31/10/2022,4
2343,35,24669,83,Male,IT,20/9/2021,3
2344,47,35510,86,Male,HR,19/7/2022,4
2345,26,53512,43,Male,Sales,31/1/2022,3
2346,45,56206,92,Male,Operations,22/11/2021,3
2347,43,37327,98,-,NA,9/12/2023,2
2348,28,29061,38,Female,IT,7/12/2021,*
2349,64,30323,38,Male,IT,13/3/2024,1
2350,*,57132,33,NA,Finance,22/8/2023,1
2351,29,18586,49,Male,Operations,30/3/2024,3
2352,46,40965,0,Male,IT,3/3/2022,2
2353,60,23338,26,Female,Finance,16/7/2021,5
2354, ,49722,2,Male,Finance,4/4/2020,1
2355,27,18679,97,Female,Operations,13/3/2020,1
2356,55,43092,16,Male,Marketing,26/5/2021,4
2357,53,24544,,Male,HR,13/11/2022,1
2358,38,31079, ,Male,Finance,14/11/2021,4
2359,60, ,21,Male,Marketing,31/5/2020,3
2360,23,42464,62,Male,IT,12/3/2024,3
2361,38,34795,82,-,Finance,1/11/2022,1
2362,58,NA,40,Male,IT,20/6/2023,4
2363,50,27203,68,-,Sales,11/1/2020,2
2364,28,27306,38,Female,IT,21/7/2022,3
2365, ,20641,38,Male,Sales,28/6/2023,3
2366,40,26446,27,*,Marketing,13/1/2024,1
2367,47,48125,9,NA,Marketing,2/4/2020,1
2368,36,46560,54,-,IT,1/2/2024, 
2369,22,*,61,Male,Sales,18/7/2020,5
2370,32,15927,83,Male,,2/12/2024,5
2371,43,24001,53,Female,HR,31/7/2020, 
2372,52,26407,68,*,Operations,6/3/2023,2
2373,62,-,22,Male,IT,17/4/2023,3
2374,51,59880,44,Male,Sales,11/6/2021,5
2375,33,*,,Male,-,26/7/2021,5
2376,33,38059,28,Female,Marketing,25/11/2023,5
2377,64,32190,96,Female,Finance,9/6/2023,3
2378,52,41862,34,*,Marketing,25/8/2021, 
2379,31, ,58,Female,Finance,4/5/2022,4
2380,45,35351,70,Female,HR,26/11/2024,1
2381,51,28079,12,Male,Finance,12/7/2023,5
2382,58,16961,64,Male,HR,28/11/2022,5
2383,61,35019,3,*,IT,22/12/2020,4
2384,-,43691,51,Female,Marketing,6/9/2020,1
2385,25,19888,88,NA,Finance,7/6/2022,5
2386,43,-,72,Male,Sales,16/7/2021,1
2387,60,47214, ,Male,Marketing,8/9/2021,1
2388,40,61851,*,Male,IT,12/7/2020,4
2389,25,32520,24,Female,Sales,22/1/2020,
2390,18,25127,43,Male,Marketing,19/11/2021,3
2391,36,54133,11, ,Sales,6/5/2021,2
2392,21,48443,32,Female,IT,19/1/2021,2
2393,64,36648,34,Male,IT,28/7/2023,4
2394,44,31011,72,Male,,24/8/2020,5
2395,30,31501,98,Male,Sales,24/5/2023,3
2396,NA,16580,26,Male,HR,13/3/2021,2
2397,22,42812,90,Male,Finance,6/8/2021,5
2398,61,36969,50,Female,HR,26/2/2021,1
2399,35,30036,66,Male,Operations,9/9/2021,4
2400,38,18680,17,Male,Operations,13/9/2023,2
2401,18,33791,82,Female,HR,6/12/2023,3
2402,38,28760,37,Male,HR,15/1/2021,-
2403,44,34414,99,Male,HR,6/7/2020,3
2404,49,0,71,Female,Sales,15/10/2023,3
2405,37,36030,16,Male,Marketing,25/7/2024,4
2406,63,44700,20,Male,Sales,27/4/2023,5
2407,18,32727,49,Female,IT,5/8/2021,1
2408,37,19652,10,Female,Marketing,9/4/2023,1
2409,47,18174,90,Female,Marketing,2/4/2021,1
2410,21,38396,16,Male,Marketing,17/6/2023,2
2411,NA,38286,14,Female,Sales,2/2/2022,3
2412,,NA,65,Male,Operations,10/11/2022,1
2413,*,0,33,Male,Marketing,9/7/2020,3
2414,35,52460,33,Female,HR,20/11/2021,1
2415,50,38196,47,Female,Finance,29/5/2022,3
2416,45,43357,39,Female,IT,16/12/2023,3
2417,53,41566,90,Female,Operations,16/1/2020,1
2418,35,39024,100,Female,Operations,13/11/2024,1
2419,44,49595,3,Male,Operations,25/6/2023,3
2420,40,22819, ,Male,Marketing,6/2/2023,2
2421,51, ,27,Female,Sales,26/11/2020,5
2422,-,27589,36,,Finance,20/4/2024,*
2423,54,43715,73,Male,Operations,4/2/2022,2
2424,60,22603,68,Male,Sales,10/6/2024,4
2425,NA,25774,22,Female,IT,6/1/2023,3
2426,39,0,0,Female,Finance,4/8/2022,4
2427,51,39709, ,Female,,15/7/2024,1
2428,50,0,46,Male,HR,1/4/2024,3
2429,61,51197,46,Female,Marketing,23/3/2022,3
2430,48,38932,1,Female,Sales,1/3/2020,5
2431,51,30030,23,,Sales,23/1/2022,4
2432,58,25527,35,Female, ,2/6/2024,1
2433,28,28802,88, ,Sales,22/2/2023,2
2434,49,23260,94,Female,IT,4/12/2021,2
2435,27,8436,74,Female,Finance,14/1/2020,2
2436,23,0,23,Female,Marketing,16/9/2024,2
2437,37,43027,*,Male,IT,27/6/2023,-
2438,44,38181,51,Male,Marketing,26/11/2023,4
2439,30,12725,22,Male,,18/11/2020,1
2440,,39286,52,Female,Sales,10/11/2022,2
2441,60,28808,0,Male,HR,29/2/2024,5
2442,19,25299,46,Female,Finance,10/1/2022,4
2443,44,39253,19,Female,Marketing,27/5/2024,4
2444,56,-,42,Male,Sales,8/11/2022,1
2445,63,33151,15,Female,Operations,3/7/2022,5
2446,19,NA,79,Female,IT,1/12/2020,-
2447,34,44613,-,Female,Marketing,15/1/2020,5
2448,40,35712,6,Male,NA,13/1/2023,3
2449,28,36976,30,Male,Finance,18/9/2020,1
2450,52,19632,46,Male,IT,26/3/2021,4
2451,41,*,9,Female,Marketing,18/3/2022,5
2452,63,28882,83,Female,HR,24/10/2021,3
2453,33,25630,34,Female,HR,5/1/2024,2
2454,24,,47, ,Sales,16/12/2021,NA
2455,28,-,6,Male,Finance,27/3/2020,5
2456,53,47342,42,Male,Finance,19/6/2020,2
2457,25,33705,71,Female,,30/4/2024,4
2458, ,31673,59,Female,IT,8/6/2024,1
2459,*,39109,63,Male,IT,14/7/2021,2
2460,44,,34,Male,IT,14/10/2023,3
2461,63,73489,10,Female,IT,19/7/2020,1
2462,24,25025,57,,IT,13/1/2021,2
